iter	Logloss
0	0.6712954455
1	0.652412288
2	0.6338320547
3	0.6150818221
4	0.5983656713
5	0.5811688012
6	0.5632164214
7	0.5456945691
8	0.5295430406
9	0.5151267488
10	0.5047861479
11	0.4924421667
12	0.4783558649
13	0.4665455392
14	0.4570336195
15	0.4460645418
16	0.4368567781
17	0.4280304864
18	0.4176713306
19	0.4099016324
20	0.4006183846
21	0.3940404301
22	0.3859788607
23	0.3775600956
24	0.3700537389
25	0.3620579523
26	0.3574478524
27	0.3508117669
28	0.3444111209
29	0.3386991787
30	0.3319528864
31	0.326452625
32	0.3207962575
33	0.3157107058
34	0.3108717985
35	0.3071957239
36	0.3027946377
37	0.2991079937
38	0.2951977144
39	0.2917899971
40	0.2874587067
41	0.2836708892
42	0.2801943483
43	0.2770283741
44	0.2735343559
45	0.2705404541
46	0.2674555587
47	0.2637436836
48	0.260301256
49	0.2581584684
50	0.2548300024
51	0.2527882675
52	0.2508560759
53	0.2483447106
54	0.2463827062
55	0.243045191
56	0.2410129841
57	0.2383319193
58	0.235978725
59	0.2340362559
60	0.2318369222
61	0.2305435131
62	0.2288552909
63	0.2271414391
64	0.2251850535
65	0.2227193386
66	0.2212415187
67	0.2198756918
68	0.2184146457
69	0.2166176882
70	0.2146668139
71	0.2125513631
72	0.2109064284
73	0.2089226798
74	0.2074590937
75	0.2064534832
76	0.2053807299
77	0.203848514
78	0.2025933769
79	0.2014917745
80	0.200101399
81	0.1990685659
82	0.1980604783
83	0.1970645385
84	0.1961288125
85	0.1951559029
86	0.1942135004
87	0.1932469389
88	0.1925475529
89	0.191323496
90	0.1903850666
91	0.1893261097
92	0.1885090571
93	0.1875842712
94	0.1864159461
95	0.1856874959
96	0.1850273024
97	0.1844220433
98	0.1834977655
99	0.1825838432
100	0.1818414994
101	0.181125878
102	0.1804049085
103	0.1796569882
104	0.1789097649
105	0.1780240889
106	0.1772731835
107	0.1765198758
108	0.1760418007
109	0.1753276494
110	0.1747353643
111	0.1740513153
112	0.1732643507
113	0.1725614271
114	0.1719506637
115	0.1713444564
116	0.170583419
117	0.169831868
118	0.1692729804
119	0.1687146075
120	0.1680320154
121	0.1673682247
122	0.1669091688
123	0.1665590679
124	0.1661701446
125	0.1657633507
126	0.165567871
127	0.1649011049
128	0.1642841798
129	0.1638150662
130	0.1633188667
131	0.1626781026
132	0.1622999321
133	0.1619670066
134	0.1612859048
135	0.1607531907
136	0.160338255
137	0.1599436474
138	0.1593553182
139	0.1590048271
140	0.1584815869
141	0.1581587507
142	0.1577951524
143	0.1572408347
144	0.1568227047
145	0.1563951113
146	0.1558000851
147	0.1553540613
148	0.1551140375
149	0.1548561486
150	0.1544605078
151	0.1541189082
152	0.1537482516
153	0.1534761554
154	0.1528929961
155	0.1524311454
156	0.1520636135
157	0.1517446876
158	0.1514219232
159	0.1510659125
160	0.1505365713
161	0.1500827148
162	0.1497924063
163	0.1495423387
164	0.1493464383
165	0.1490506613
166	0.1488840611
167	0.1487217919
168	0.148532635
169	0.148136786
170	0.1478432041
171	0.147437201
172	0.147243943
173	0.1470966892
174	0.1468507293
175	0.1466358597
176	0.1462495785
177	0.1458879167
178	0.1456171841
179	0.1454436099
180	0.1452066897
181	0.1449220198
182	0.14471113
183	0.1444808775
184	0.1443155966
185	0.1441172097
