iter	Passed	Remaining
0	8	8601
1	15	7788
2	21	7202
3	26	6488
4	30	6105
5	34	5728
6	38	5502
7	42	5260
8	47	5185
9	51	5112
10	55	5000
11	59	4858
12	62	4729
13	65	4631
14	69	4542
15	72	4445
16	75	4367
17	78	4295
18	82	4239
19	86	4262
20	90	4214
21	93	4176
22	97	4138
23	100	4092
24	104	4071
25	108	4072
26	112	4059
27	116	4047
28	120	4048
29	125	4052
30	129	4046
31	134	4063
32	138	4064
33	142	4050
34	146	4035
35	150	4031
36	154	4023
37	158	4011
38	162	4008
39	166	3997
40	171	4000
41	175	3994
42	179	3986
43	183	3980
44	187	3978
45	191	3971
46	196	3993
47	201	3986
48	205	3991
49	209	3975
50	212	3957
51	217	3967
52	220	3947
53	224	3926
54	227	3911
55	231	3900
56	234	3886
57	238	3867
58	241	3848
59	244	3833
60	247	3815
61	250	3797
62	254	3780
63	257	3765
64	262	3770
65	267	3788
66	271	3774
67	274	3760
68	277	3743
69	280	3732
70	284	3721
71	289	3734
72	295	3758
73	301	3773
74	308	3802
75	314	3819
76	317	3805
77	321	3799
78	324	3786
79	328	3778
80	332	3767
81	335	3753
82	338	3741
83	341	3728
84	345	3720
85	349	3711
86	352	3700
87	355	3686
88	358	3673
89	362	3662
90	365	3649
91	368	3636
92	371	3624
93	375	3616
94	378	3607
95	382	3600
96	386	3599
97	390	3597
98	394	3592
99	398	3586
100	402	3584
101	406	3578
102	409	3569
103	414	3571
104	417	3562
105	421	3555
106	425	3548
107	429	3546
108	432	3537
109	437	3535
110	441	3538
111	445	3529
112	448	3519
113	451	3510
114	454	3499
115	458	3490
116	461	3480
117	464	3472
118	467	3462
119	471	3454
120	474	3445
121	477	3437
122	480	3428
123	484	3420
124	487	3414
125	490	3404
126	494	3395
127	497	3387
128	500	3379
129	504	3373
130	507	3365
131	511	3363
132	515	3357
133	518	3350
134	522	3347
135	526	3346
136	530	3342
137	534	3335
138	537	3328
139	540	3321
140	543	3312
141	546	3304
142	550	3298
143	553	3290
144	556	3283
145	560	3275
146	563	3268
147	568	3272
148	576	3289
149	582	3301
150	587	3301
151	592	3306
152	596	3301
153	599	3295
154	604	3293
155	607	3287
156	612	3288
157	615	3281
158	619	3274
159	622	3267
160	625	3261
161	629	3253
162	632	3247
163	636	3242
164	640	3240
165	643	3235
166	647	3227
167	650	3220
168	653	3214
169	657	3208
170	661	3207
171	664	3200
172	670	3205
173	675	3207
174	679	3202
175	682	3195
176	686	3191
177	689	3184
178	692	3177
179	696	3171
180	700	3168
181	703	3163
182	707	3157
183	710	3151
184	713	3145
185	717	3139
186	720	3132
187	723	3125
188	726	3118
189	730	3113
190	735	3113
191	738	3106
192	742	3103
193	745	3097
194	749	3095
195	753	3089
196	757	3085
197	760	3080
198	765	3080
199	770	3081
200	774	3078
201	780	3084
202	785	3082
203	789	3080
204	794	3080
205	797	3075
206	802	3074
207	805	3068
208	810	3066
209	813	3060
210	818	3061
211	821	3054
212	826	3053
213	829	3046
214	834	3045
215	837	3039
216	841	3037
217	845	3031
218	849	3030
219	853	3026
220	857	3023
221	860	3017
222	865	3015
223	871	3017
224	874	3011
225	878	3008
226	883	3007
227	888	3007
228	891	3003
229	896	3000
230	899	2994
231	903	2991
232	907	2986
233	911	2982
234	914	2977
235	919	2975
236	923	2973
237	927	2970
238	931	2966
239	935	2961
240	939	2958
241	943	2953
242	947	2951
243	951	2946
244	955	2944
245	959	2939
246	964	2939
247	969	2941
248	973	2935
249	977	2933
250	983	2933
251	987	2930
252	991	2926
253	995	2924
254	999	2921
255	1003	2917
256	1007	2913
257	1011	2907
258	1014	2903
259	1018	2897
260	1021	2891
261	1025	2887
262	1028	2881
263	1032	2878
264	1036	2874
265	1040	2869
266	1043	2864
267	1047	2861
268	1051	2856
269	1055	2852
270	1058	2847
271	1062	2844
272	1066	2839
273	1070	2836
274	1073	2830
275	1078	2828
276	1081	2823
277	1085	2819
278	1088	2813
279	1092	2810
280	1096	2804
281	1100	2801
282	1103	2795
283	1108	2793
284	1111	2788
285	1115	2785
286	1118	2779
287	1124	2779
288	1127	2774
289	1132	2773
290	1137	2772
291	1142	2771
292	1148	2770
293	1153	2769
294	1159	2769
295	1163	2766
296	1167	2764
297	1173	2765
298	1178	2763
299	1184	2762
300	1188	2759
